Command,Path,IsOptional,Type,Package,Category,Name,Aliases,Description,Licence
dialog,,1,bundled,dialog,dev,,,"Allows you to create and display dialog boxes from a shell script. dialog includes the following boxes: buildlist, calendar, checklist, dselect, editbox, form, fselect, gauge, infobox, inputbox, inputmenu, menu, mixedform, mixedgauge, msgbox, passwordbox, passwordform, pause, prgbox, programbox, progressbox, radiolist, rangebox, tailbox, tailboxbg, textbox, timebox, treeview and yesno. The SHORK 486 Build Configurator is dialog based, and the Linux kernel's lxdialog is a distant descendant of dialog.",GNU LGPLv2.1
diff,,1,busybox,,dev,,,Compares two files line-by-line and outputs a difference listing between them. The result can be used as a patch file for the patch utility.,GNU GPLv2
dirname,,1,busybox,,gen,,,,GNU GPLv2
dmesg,,1,busybox,,sys,,,,GNU GPLv2
dos2unix,,1,busybox,,txt,,,Converts a text file from using DOS-style line breaks (carriage return + line feed) to using Unix-style line breaks (line feed).,GNU GPLv2
dosfsck,,1,bundled,dosfstools,dsk,dosfsck,,,GNU GPLv3
dosfslabel,,1,bundled,dosfstools,dsk,dosfslabel,,,GNU GPLv3
du,,1,busybox,,dsk,,,,GNU GPLv2
dumpe2fs,,1,bundled,e2fsprogs,dsk,dumpe2fs,,,GNU GPLv2 + LGPLv2
dwp,,1,bundled,GNU Binutils,dev,GNU dwp,,,GNU GPLv3
e2freefrag,,1,bundled,e2fsprogs,dsk,e2freefrag,,,GNU GPLv2 + LGPLv2
e2fsck,,1,bundled,e2fsprogs,dsk,e2fsck,,,GNU GPLv2 + LGPLv2
e2image,,1,bundled,e2fsprogs,dsk,e2image,,,GNU GPLv2 + LGPLv2
e2initrd_helper,,1,bundled,e2fsprogs,dsk,e2initrd_helper,,,GNU GPLv2 + LGPLv2
e2label,,1,bundled,e2fsprogs,dsk,e2label,,,GNU GPLv2 + LGPLv2
e2mmpstatus,,1,bundled,e2fsprogs,dsk,e2mmpstatus,,,GNU GPLv2 + LGPLv2
e2scrub,,1,bundled,e2fsprogs,dsk,e2scrub,,,GNU GPLv2 + LGPLv2
e2scrub_all,,1,bundled,e2fsprogs,dsk,e2scrub_all,,,GNU GPLv2 + LGPLv2
e2undo,,1,bundled,e2fsprogs,dsk,e2undo,,,GNU GPLv2 + LGPLv2
e4crypt,,1,bundled,e2fsprogs,dsk,e4crypt,,,GNU GPLv2 + LGPLv2
e4defrag,,1,bundled,e2fsprogs,dsk,e4defrag,,,GNU GPLv2 + LGPLv2
echo,,0,busybox,,gen,,,,GNU GPLv2
ed,,1,busybox,,dev,,,,GNU GPLv2
egrep,,1,busybox,,txt,,,,GNU GPLv2
eject,,1,busybox,,dsk,,,,GNU GPLv2
elfedit,,1,bundled,GNU Binutils,dev,GNU elfedit,,,GNU GPLv3
env,,1,busybox,,gen,,,,GNU GPLv2
ex,,1,bundled,Vim,dev,ex,,Opens the Vim editor in line-orientated mode. It processes commands line-by-line rather than providing a full interactive experience.,Vim
expand,,1,busybox,,txt,,,,GNU GPLv2
expr,,0,busybox,,gen,,,,GNU GPLv2
factor,,1,busybox,,gen,,,,GNU GPLv2
fallocate,,1,busybox,,dsk,,,"Preallocates disk space for a file without writing data to it. It is useful for reserving space for something without needing to write zeros or random data (as you would with dd) - for example, creating swap files, preallocating space for a database or log, or testing behaviour with large files.",GNU GPLv2
false,,1,busybox,,gen,,,,GNU GPLv2
fatlabel,,1,bundled,dosfstools,dsk,fatlabel,,,GNU GPLv3
fdflush,,1,busybox,,dsk,,,,GNU GPLv2
fdformat,,1,busybox,,dsk,,,,GNU GPLv2
fdisk,,1,busybox,,dsk,,,,GNU GPLv2
fgrep,,1,busybox,,txt,,,,GNU GPLv2
file,,1,bundled,file,gen,,,Identifies and reports the type of data contained in a file.,BSD 2-Clause (Darwin)
filefrag,,1,bundled,e2fsprogs,dsk,filefrag,,,GNU GPLv2 + LGPLv2
find,,1,busybox,,gen,,,,GNU GPLv2
findfs,,1,bundled,e2fsprogs,dsk,findfs,,,GNU GPLv2 + LGPLv2
fold,,1,busybox,,txt,,,,GNU GPLv2
free,,0,busybox,,sys,,,"Reports the amount of total, used and free system physical memory and (if available) swap memory, largely acting as a frontend to /proc/meminfo. It produces a table containing the total (MemTotal/SwapTotal), used (total - available), free (MemFree/SwapFree), shared (Shmem), buffers (Buffers) + cache (Cached/SReclaimable), and available (MemAvailable) memory. All values are in kibibytes (KiB).",GNU GPLv2
fsck,,1,bundled,e2fsprogs,dsk,fsck,,,GNU GPLv2 + LGPLv2
fsck.ext2,,1,bundled,e2fsprogs,dsk,fsck.ext2,,,GNU GPLv2 + LGPLv2
fsck.ext3,,1,bundled,e2fsprogs,dsk,fsck.ext3,,,GNU GPLv2 + LGPLv2
fsck.ext4,,1,bundled,e2fsprogs,dsk,fsck.ext4,,,GNU GPLv2 + LGPLv2
fsck.fat,,1,bundled,dosfstools,dsk,fsck.fat,,,GNU GPLv3
fsck.msdos,,1,bundled,dosfstools,dsk,fsck.msdos,,,GNU GPLv3
fsck.vfat,,1,bundled,dosfstools,dsk,fsck.vfat,,,GNU GPLv3
ftp,,1,bundled,tnftp,net,,,An FTP client for remote file transfer.,BSD 2-Clause
ftpget,,1,busybox,,net,,,,GNU GPLv2
ftpput,,1,busybox,,net,,,,GNU GPLv2
fuser,,1,busybox,,pro,,,Lists the process IDs that have the given file or network port open. It can also be told to directly kill or send a signal to the matched processes.,GNU GPLv2
g++,,1,bundled,GCC + musl,dev,GCC C++,,GCC's C++ compiler.,GNU GPLv3 + GCC Runtime Library Exception
gcc,,1,bundled,GCC + musl,dev,GCC C,,GCC's C compiler (configured to use musl).,GNU GPLv3 + GCC Runtime Library Exception
getfattr,,1,busybox,,gen,,,"Gets an extended attribute from the given filesystem object. Extended attributes are metadata that go beyond the standard attributes provided by the host filesystem, allowing more information to be associated with a given filesystem object.",GNU GPLv2
getopt,,1,busybox,,gen,,,,GNU GPLv2
getty,,1,busybox,,usr,,,"Opens a TTY and prompts for a login, accepting a user name before invoking the login command to complete the rest of the login cycle.",GNU GPLv2
gfortran,,1,bundled,GCC + musl,dev,Gfortran,,GCC's Fortran compiler.,GNU GPLv3 + GCC Runtime Library Exception
git,,1,bundled,Git,dev,,,A distributed version control software system.,GNU GPLv2
grep,,0,busybox,,txt,,,,GNU GPLv2
