Command,Path,IsOptional,Type,Package,Category,Name,Aliases,Description,Licence
shorkmines,,1,shorktainment,,fun,SHORKMINES,terminal-mines,"An ncurses-based minesweeper game based on terminal-mines. You can customise the game’s difficulty by entering a width, height, and mine density of your choosing.",MIT
shorkoff,,1,shorkutil,,sys,SHORKOFF,,"A shutdown helper that safely brings the system to a controlled halt before a manual power off. It is intended as an explicit utility that the user can call to sync write cache to help prevent data corruption or loss on especially older hardware when faced with a manual power off, then halts the system so the user can switch the power off without interrupting any active operations.",GNU GPLv3
shorksay,,1,shorktainment,,fun,SHORKSAY,cowsay,"A shark-themed take on the cowsay command that outputs an ASCII art shark and a speech bubble containing a message of your choice. The message can be manually supplied or can be provided from another program's standard output (ie, using a pipe).",GNU GPLv3
shorkset,,1,shorkutil,,sys,SHORKSET,,"A settings program for changing SHORK's display resolution, keyboard layout (keymap), terminal PSF font, and terminal font colour.",GNU GPLv3
showkey,,1,busybox,,gen,,,,GNU GPLv2
shred,,1,busybox,,dsk,,,,GNU GPLv2
shuf,,1,busybox,,txt,,,,GNU GPLv2
size,,1,bundled,GNU Binutils,dev,GNU size,,,GNU GPLv3
sleep,,1,busybox,,gen,,,,GNU GPLv2
sort,,1,busybox,,txt,,,,GNU GPLv2
split,,1,busybox,,txt,,,,GNU GPLv2
ssh,,1,bundled,Dropbear,net,Dropbear (SSH),,An SSH client (a part of Dropbear) for remote login and command-line execution.,MIT + BSD 2-Clause (OpenSSH components)
stat,,1,busybox,,gen,,,,GNU GPLv2
stinit,,1,bundled,mt-st,dsk,,,"Used for initialising SCSI magnetic tape drive modes at system startup, when a tape driver module is loaded, or when a new tape driver is initialised using terminal commands.",GNU GPLv2
strace,,1,bundled,strace,pro,,,"Executes a given command to capture and trace its system calls and signals. It is a useful diagnosis and debugging tool one can run if a program fails unexpectedly, and/or without meaningful error messages or logs.",GNU LGPLv2.1
strings,/opt/i486-linux-musl-native/bin/strings,1,bundled,GNU Binutils,dev,GNU strings,,,GNU GPLv3
strings,/usr/bin/strings,1,busybox,,dev,,,,GNU GPLv3
strip,,1,bundled,GNU Binutils,dev,GNU strip,,,GNU GPLv3
stty,,1,busybox,,sys,,,,GNU GPLv2
su,,1,busybox,,usr,,,"Allows you to log in and use the shell as another user without needing to log out of the current session. By default, it will try the root user, thus useful for quickly making administrative changes without needing to log out or switch consoles.",GNU GPLv2
sulogin,,1,busybox,,usr,,,"Single-user login. It is normally invoked by the init system when the host system goes into single-user mode (for example, for rescue or maintenance operations). If you run sulogin during a normal session, it functions similarly to using su to log in as the root user.",GNU GPLv2
sum,,1,busybox,,chk,,,,GNU GPLv2
swapoff,,1,busybox,,dsk,,,"Used to stop memory paging/swapping on one or all swap-capable devices. If used and no swap devices are left online, the computer will be entirely reliant on system memory (RAM) for program memory.",GNU GPLv2
swapon,,1,busybox,,dsk,,,"Used to start memory paging/swapping on one or all swap-capable devices. Swapping allows fixed storage (hard disk drrive, solid-state drive, etc.) or removable storage (USB stick, etc.) to be used for program memory in addition to system memory (RAM). It is useful as a buffer for when free RAM runs low, although using swap memory will be much slower than RAM.",GNU GPLv2
sync,,0,busybox,,dsk,,,"Commits any filesystem write operations that are currently cached. It is useful as an immediate and explicit way to ensure data is written to any disks/drives before powering off the computer, removing a drive, etc.",GNU GPLv2
tac,,1,busybox,,txt,,,,GNU GPLv2
tail,,1,busybox,,txt,,,,GNU GPLv2
tar,,1,busybox,,arc,,,"Creates, extracts or lists files from a given tar archive. It can also compress or decompress the archive based on the file extension or one of the explicit flags available. It also supports filtering files by name or glob pattern, changing directory before operating, and piping extracted files to another command.",GNU GPLv2
taskset,,1,busybox,,pro,,,Allows you to get or set the CPU affinity for a new program or an existing process via its ID.,GNU GPLv2
tcc,,1,bundled,Tiny C Compiler,dev,,,A lightweight C compiler (configured to use musl).,GNU LGPLv2.1
tee,,0,busybox,,gen,,,,GNU GPLv2
telnet,,1,busybox,,net,,,,GNU GPLv2
test,,0,busybox,,gen,,,,GNU GPLv2
tilde,,1,bundled,Tilde,dev,,,,GNU GPLv3
time,,1,busybox,,gen,,,,GNU GPLv2
timeout,,1,busybox,,pro,,,"Runs the given program until the given timeout, which will be terminated unless the program completes by itself. By default, it will try to gracefully terminate the program, but it can be told to immediately kill as well.",GNU GPLv2
tmux,,1,bundled,tmux,gen,,,"A terminal multiplexer that allows for multi-tasking and multi-viewing with just a single terminal. It allows you to create multiple ""windows"" to switch between without switching virtual terminals or opening a new window/tab in your terminal emulator, split said ""windows"" into multiple panes that can present terminal programs and output side-by-side, and quickly switch between them. Each tmux session can also be detached and reattached without losing what is open inside.",ISC
top,,1,busybox,,pro,,,"A process viewer that provides a real-time view of running processes and their CPU and memory usage. Besides comma-separated memory and CPU statistics and averages, it produces a table containing the process ID (PID), parent process ID (PPID), user, process state (STAT), virtual memory size in kilobytes (VSZ), VSZ as a percentage of total RAM (%VSZ), the last CPU core used, percentage of CPU time used (%CPU) and the executing command for each process that can fit into a single non-scrolling terminal.",GNU GPLv2
touch,,0,busybox,,gen,,,"Typically used to update the access and modification dates/times of one or more given files. It can also be used to create one or many empty files, as seen in some Linux books and tutorials, although this is often redundant.",GNU GPLv2
tr,,1,busybox,,txt,,,,GNU GPLv2
traceroute,,1,busybox,,net,,,,GNU GPLv2
tree,,1,busybox,,gen,,,,GNU GPLv2
true,,0,busybox,,gen,,,,GNU GPLv2
truncate,,1,busybox,,gen,,,,GNU GPLv2
tsort,,1,busybox,,txt,,,,GNU GPLv2
tty,,1,busybox,,sys,,,,GNU GPLv2
tune2fs,,1,bundled,e2fsprogs,dsk,tune2fs,,,GNU GPLv2 + LGPLv2
udhcpc,,1,busybox,,net,,,,GNU GPLv2
umount,,0,busybox,,dsk,,,,GNU GPLv2
uname,,0,busybox,,sys,,,,GNU GPLv2
uncompress,,1,busybox,,arc,,,"Decompresses given Z archives, or Z-compressed standard input to standard output.",GNU GPLv2
unexpand,,1,busybox,,txt,,,,GNU GPLv2
uniq,,1,busybox,,txt,,,,GNU GPLv2
unix2dos,,1,busybox,,txt,,,Converts a text file from using Unix-style line breaks (line feed) to using DOS-style line breaks (carriage return + line feed).,GNU GPLv2
unlink,,1,busybox,,dsk,,,,GNU GPLv2
unlzma,,1,busybox,,arc,,,"Decompresses given LZMA archives, or LZMA-compressed standard input to standard output. By default, it will replace the input files unless told otherwise.",GNU GPLv2
unlzop,,1,busybox,,arc,,,"Decompresses given LZO archives, or LZO-compressed standard input to standard output.",GNU GPLv2
unxz,,1,busybox,,arc,,,"Decompresses given XZ archives, or XZ-compressed standard input to standard output. By default, it will replace the input files unless told otherwise.",GNU GPLv2
unzip,,1,busybox,,arc,,,"Lists or extracts files from a given ZIP archive, with the option to specify a target directory or write to standard output.",GNU GPLv2
uptime,,1,busybox,,sys,,,,GNU GPLv2
users,,1,busybox,,usr,,,Prints the users currently logged on.,GNU GPLv2
usleep,,1,busybox,,gen,,,,GNU GPLv2
uuidgen,!/usr/sbin/e2image,1,busybox,,gen,,,"Generates and prints a universally unique identifier (UUID), a 128-bit value for identification that is practically guaranteed to be unique.",GNU GPLv2
uuidgen,/usr/sbin/e2image,1,bundled,e2fsprogs,gen,uuidgen,,,GNU GPLv2 + LGPLv2
vi,,0,busybox,,dev,,,,GNU GPLv2
view,,1,bundled,Vim,dev,view,,Opens the Vim editor in read-only mode. This disables its ability to write.,Vim
vim,,1,bundled,Vim,dev,Vi IMproved,,"An improved vi-style text editor that is highly extensible. Compared to regular vi, Vim supports syntax highlighting, folding, multiple buffers/windows/tabs, spell-checking, macros, undo trees and an scripting language called Vimscript. It also has a plugin system.",Vim
vimdiff,,1,bundled,Vim,dev,vimdiff,,Opens the Vim editor in a mode that allows comparing two or more files side-by-side with their differences highlighted.,Vim
vimtutor,,1,bundled,Vim,dev,vimtutor,,"An interactive, self-paced tutorial that teaches you the basis of Vim using a disposable practice copy of the lesson file.",Vim
vmstat,,1,busybox,,sys,,,"Reports system virtual memory, processes, CPU and I/O statistics. It displays columns for a runnable process count (r), I/O-bound blocked process count (b), swap memory used (swpd), idle memory (free), memory as buffers (buff), memory as cache (cache), memory swapped in from disk (si), memory swapped to disk (so), KiB received from a block device (bi), KiB sent to a block device (bo), interrupts per second (in), context switches per second (cs), user CPU time (us), system CPU time (sy), CPU idle time (id), time waiting for IO (wa), time stolen from a virtual machine (st), and time running KVM guest code (gu).",GNU GPLv2
volname,,1,busybox,,dsk,,,,GNU GPLv2
w,,1,busybox,,usr,,,"Shows which users are logged in, what ttyX they are logged into, how long they have been idling, and when they first logged in. Functions like who -H, always showing column headers.",GNU GPLv2
watch,,1,busybox,,pro,,,"Runs the given program periodically. By default, it will run every two seconds, unless a custom period is also given.",GNU GPLv2
wc,,1,busybox,,txt,,,,GNU GPLv2
wget,,1,busybox,,net,,,"A non-interactive internet file downloader. It is often used to simply download a file with a given URL, although it can also be used as a web spider.",GNU GPLv2
whereis,,1,bundled,util-linux,gen,whereis,,"Locates the binary, source and manual page files for a given command.",GNU GPLv2
which,,0,busybox,,gen,,,,GNU GPLv2
who,,1,busybox,,usr,,,"Shows which users are logged in, what ttyX they are logged into, how long they have been idling, and when they first logged in. By default, it does not show column headers.",GNU GPLv2
whoami,,1,busybox,,usr,,,Prints the current user's name. Functions similarly to logname but uses the current effective user ID as its source.,GNU GPLv2
whois,,1,busybox,,net,,,,GNU GPLv2
xargs,,1,busybox,,gen,,,,GNU GPLv2
xxd,/usr/bin/vim,1,bundled,Vim,dev,xxd,,,Vim
xxd,!/usr/bin/vim,1,busybox,,dev,,,,GNU GPLv2
xz,,1,busybox,,arc,,,"Decompresses given XZ archives, or XZ-compressed standard input to standard output. By default, it will replace the input files unless told otherwise. Note: unlike XZ Utils' implementation of xz, BusyBox's version cannot compress any input.",GNU GPLv2
xzcat,,1,busybox,,arc,,,Decompresses a given XZ archive to standard output. Functions like unxz -c.,GNU GPLv2
yes,,1,busybox,,gen,,,,GNU GPLv2
zcat,,1,busybox,,arc,,,Decompresses a given gzip archive to standard output. Functions like gunzip -c.,GNU GPLv2
